,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
0,53,Abhanpur,CHANDRASHEKHAR SAHU - CHAMPU BHAIYYA,Bharatiya Janata Party,23471,8354,DHANENDRA SAHU,Indian National Congress,Chattisgarh,DHANENDRA SAHU,Indian National Congress
1,67,Ahiwara,RAJMAHANT SANWLA RAM DAHRE,Bharatiya Janata Party,31687,31676,RAJMAHNT SANWLA RAM DAHRE,Bharatiya Janata Party,Chattisgarh,GURU RUDRA KUMAR,Indian National Congress
2,33,Akaltara,RICHA JOGI,Bahujan Samaj Party,1854,21693,CHUNNILAL SAHU,Indian National Congress,Chattisgarh,SAURABH SINGH,Bharatiya Janata Party
3,10,Ambikapur,ANURAG SINGH DEO,Bharatiya Janata Party,39624,19558,T.S.BABA,Indian National Congress,Chattisgarh,T.S. BABA,Indian National Congress
4,79,Antagarh,VIKRAM USENDI,Bharatiya Janata Party,13414,5171,VIKRAM USENDI,Bharatiya Janata Party,Chattisgarh,ANOOP NAG,Indian National Congress
5,52,Arang,SANJAY DHIDHI,Bharatiya Janata Party,25077,13774,NAVEEN MARKANDEY,Bharatiya Janata Party,Chattisgarh,DR. SHIVKUMAR DAHARIYA,Indian National Congress
6,3,Baikunthpur,BHAIYALAL RAJWADE,Bharatiya Janata Party,5339,1069,BHAIYALAL RAJWADE,Bharatiya Janata Party,Chattisgarh,AMBICA SINGH DEO,Indian National Congress
7,45,Balodabazar,JANAK RAM VERMA,Indian National Congress,2129,9977,JANAK RAM VERMA,Indian National Congress,Chattisgarh,PRAMOD KUMAR SHARMA,Janta Congress Chhattisgarh (J)
8,40,Basna,SAMPAT AGRAWAL,Independent,17508,6239,RUPKUMARI CHOUDHARY,Bharatiya Janata Party,Chattisgarh,DEVENDRA BAHADUR SINGH,Indian National Congress
9,85,Bastar,DR. SUBHAU KASHYAP,Bharatiya Janata Party,33471,19168,BAGHEL LAKHESHWAR,Indian National Congress,Chattisgarh,BAGHEL LAKHESHWAR,Indian National Congress
10,31,Beltara,RAJENDRA SAHU(DABBU),Indian National Congress,6259,5728,BADRIDHAR DIWAN,Bharatiya Janata Party,Chattisgarh,RAJNISH KUMAR SINGH,Bharatiya Janata Party
11,69,Bemetara,AWADHESH SINGH CHANDEL,Bharatiya Janata Party,25131,15114,AWADHESH SINGH CHANDEL,Bharatiya Janata Party,Chattisgarh,ASHISH KUMAR CHHABRA,Indian National Congress
12,80,Bhanupratappur,DEO LAL DUGGA,Bharatiya Janata Party,26693,14896,MANOJ SINGH MANDAVI,Indian National Congress,Chattisgarh,MANOJ SINGH MANDAVI,Indian National Congress
13,1,Bharatpur-sonhat,CHAMPADEVI PAWLE,Bharatiya Janata Party,16533,4608,CHAMPA DEVI PAWLE,Bharatiya Janata Party,Chattisgarh,GULAB KAMRO,Indian National Congress
14,46,Bhatapara,SUNIL MAHESHWARI,Indian National Congress,11909,12340,SHIVRATAN SHARMA,Bharatiya Janata Party,Chattisgarh,SHIVRATAN SHARMA,Bharatiya Janata Party
15,5,Bhatgaon,RAJNI RAVISHANKAR TRIPATHI,Bharatiya Janata Party,15734,7368,PARAS NATH RAJWADE,Indian National Congress,Chattisgarh,PARAS NATH RAJWADE,Indian National Congress
16,65,Bhilai Nagar,PREM PRAKASH PANDEY,Bharatiya Janata Party,2849,17106,PREM PRAKASH PANDEY,Bharatiya Janata Party,Chattisgarh,DEVENDRA  YADAV,Indian National Congress
17,89,Bijapur,MAHESH GAGDA,Bharatiya Janata Party,21584,9487,MAHESH GAGDA,Bharatiya Janata Party,Chattisgarh,VIKRAM MANDAVI,Indian National Congress
18,43,Bilaigarh,SHYAM KUMAR TANDAN,Bahujan Samaj Party,9847,12695,DR. SANAM JANGRE,Bharatiya Janata Party,Chattisgarh,CHANDRADEV PRASAD RAI,Indian National Congress
19,30,Bilaspur,AMAR AGRAWAL,Bharatiya Janata Party,11221,15599,AMAR  AGRAWAL,Bharatiya Janata Party,Chattisgarh,SHAILESH PANDEY,Indian National Congress
20,29,Bilha,RAJENDRA SHUKLA,Indian National Congress,26524,10968,SIYARAM KAUSHIK,Indian National Congress,Chattisgarh,DHARAM LAL KAUSHIK,Bharatiya Janata Party
21,55,Bindranawagarh,SANJAY NETAM,Indian National Congress,10430,30536,GOVARDHAN SINGH MANJHI,Bharatiya Janata Party,Chattisgarh,DAMARUDHAR PUJARI,Bharatiya Janata Party
22,36,Chandrapur,GITANJALI PATEL,Bahujan Samaj Party,4418,6217,YUDHVIR SINGH JUDEV,Bharatiya Janata Party,Chattisgarh,RAM KUMAR YADAV,Indian National Congress
23,87,Chitrakot,LACHHURAM KASHYAP,Bharatiya Janata Party,17770,12329,DEEPAK KUMAR BAIJ,Indian National Congress,Chattisgarh,DEEPAK  BAIJ,Indian National Congress
24,88,Dantewara,DEVATI KARMA,Indian National Congress,2172,5987,DEVATI KARMA,Indian National Congress,Chattisgarh,BHIMA MANDAVI,Bharatiya Janata Party
25,58,Dhamtari,GURUMUKH SINGH HORA,Indian National Congress,464,10500,GURUMUKH SINGH HORA,Indian National Congress,Chattisgarh,RANJANA DIPENDRA  SAHU,Bharatiya Janata Party
26,19,Dharamjaigarh,LEENAV BIRJU RATHIA,Bharatiya Janata Party,40335,19988,LALJEET SINGH RATHIA,Indian National Congress,Chattisgarh,LALJEET SINGH RATHIA,Indian National Congress
27,47,Dharsiwa,DEVJI BHAI PATEL,Bharatiya Janata Party,19400,2390,DEVJI BHAI PATEL,Bharatiya Janata Party,Chattisgarh,ANITA YOGENDRA SHARMA,Indian National Congress
28,60,Dondi lohara,LAL MAHENDRA SINGH TEKAM,Bharatiya Janata Party,33103,19735,ANILA BHENDIA,Indian National Congress,Chattisgarh,ANILA BHENDIA,Indian National Congress
29,76,Dongargaon,MADHUSUDAN YADAV,Bharatiya Janata Party,19083,1698,DALESHWAR  SAHU,Indian National Congress,Chattisgarh,DALESHWAR SAHU,Indian National Congress
30,74,Dongargarh,SAROJANI BANJARE,Bharatiya Janata Party,35418,4684,SAROJANI BANJARE,Bharatiya Janata Party,Chattisgarh,BHUNESHWAR SHOBHARAM BAGHEL,Indian National Congress
31,64,Durg City,CHANDRIKA CHANDRAKAR,Bharatiya Janata Party,21081,5621,ARUN VORA,Indian National Congress,Chattisgarh,ARUN VORA,Indian National Congress
32,63,Durg Gramin,JAGESHWAR SAHU,Bharatiya Janata Party,27112,2979,SMT. RAMSHILA SAHU,Bharatiya Janata Party,Chattisgarh,TAMRADHWAJ SAHU,Indian National Congress
33,61,Gunderdehi,DEEPAK TARACHAND SAHU,Bharatiya Janata Party,55394,21280,RAJENDRA KUMAR RAI,Indian National Congress,Chattisgarh,KUNWER SINGH NISHAD,Indian National Congress
34,86,Jagdalpur,SANTOSH BAFNA,Bharatiya Janata Party,27440,16658,SANTOSH BAFNA,Bharatiya Janata Party,Chattisgarh,REKHCHAND JAIN,Indian National Congress
35,37,Jaijaipur,KAILASH SAHU,Bharatiya Janata Party,21687,2579,KESHAV CHANDRA,Bahujan Samaj Party,Chattisgarh,KESHAV PRASAD CHANDRA,Bahujan Samaj Party
36,34,Janjgir-champa,MOTILAL DEWANGAN,Indian National Congress,4188,10211,MOTI LAL DEVANGAN,Indian National Congress,Chattisgarh,NARAYAN CHANDEL,Bharatiya Janata Party
37,12,Jashpur,GOVIND RAM BHAGAT,Bharatiya Janata Party,8026,34349,RAJSHARAN BHAGAT,Bharatiya Janata Party,Chattisgarh,VINAY KUMAR BHAGAT,Indian National Congress
38,81,Kanker,HIRA MARKAM,Bharatiya Janata Party,19804,4625,SHANKER DHRUWA,Indian National Congress,Chattisgarh,SHISHUPAL SHORI,Indian National Congress
39,44,Kasdol,GAURISHANKAR AGRAWAL,Bharatiya Janata Party,48418,22928,GAURI SHANKAR AGRAWAL,Bharatiya Janata Party,Chattisgarh,SHAKUNTALA SAHU,Indian National Congress
40,22,Katghora,LAKHANLAL DEWANGAN,Bharatiya Janata Party,11511,13130,LAKHAN DEWANGAN,Bharatiya Janata Party,Chattisgarh,PURUSHOTTAM KANWAR,Indian National Congress
41,72,Kawardha,ASHOK SAHU,Bharatiya Janata Party,59284,2558,ASHOK SAHU,Bharatiya Janata Party,Chattisgarh,AKBAR BHAI,Indian National Congress
42,82,Keshkal,HARISHANKAR NETAM	,Bharatiya Janata Party,16972,8689,SANTRAM NETAM,Indian National Congress,Chattisgarh,SANT RAM NETAM,Indian National Congress
43,73,Khairagarh,KOMAL JANGHEL,Bharatiya Janata Party,870,2190,GIRWAR JANGHEL,Indian National Congress,Chattisgarh,DEVWRAT SINGH,Janta Congress Chhattisgarh (J)
44,41,Khallari,MONIKA DILIP SAHU,Bharatiya Janata Party,56978,5999,CHUNNI LAL SAHU,Bharatiya Janata Party,Chattisgarh,DWARIKADHISH YADAV,Indian National Congress
45,18,Kharsia,OP CHOUDHARY,Bharatiya Janata Party,16967,38888,UMESH PATEL,Indian National Congress,Chattisgarh,UMESH PATEL,Indian National Congress
46,77,Khujji,HIRENDRA KUMAR SAHU,Bharatiya Janata Party,27497,8694,BHOLARAM SAHU,Indian National Congress,Chattisgarh,CHHANNI CHANDU SAHU,Indian National Congress
47,83,Kondagaon,LATA USENDI,Bharatiya Janata Party,1796,5135,MOHAN MARKAM,Indian National Congress,Chattisgarh,MOHAN MARKAM,Indian National Congress
48,90,Konta,DHANIRAM BARSE,Bharatiya Janata Party,6709,5786,KAWASI LAKHMA,Indian National Congress,Chattisgarh,KAWASI LAKHMA,Indian National Congress
49,21,Korba,VIKAS MAHTO,Bharatiya Janata Party,11806,14449,JAI SINGH AGRAWAL (JAI SINGH BHAIYYA),Indian National Congress,Chattisgarh,JAISINGH AGRAWAL(JAISINGH BHAIYA),Indian National Congress
50,25,Kota,KASHI RAM SAHU,Bharatiya Janata Party,3026,5089,DR. RENU JOGI,Indian National Congress,Chattisgarh,RENU AJIT JOGI,Janta Congress Chhattisgarh (J)
51,13,Kunkuri,BHARAT SAI,Bharatiya Janata Party,4293,28866,ROHIT KUMAR SAI,Bharatiya Janata Party,Chattisgarh,U. D. MINJ,Indian National Congress
52,57,Kurud,NEELAM CHANDRAKAR,Independent,12317,27177,AJAY CHANDRAKAR,Bharatiya Janata Party,Chattisgarh,AJAY CHANDRAKAR,Bharatiya Janata Party
53,15,Lailunga,SATYANAND RATHIYA,Bharatiya Janata Party,24483,14201,SUNITI SATYANAND RATHIA,Bharatiya Janata Party,Chattisgarh,CHAKRADHAR SINGH SIDAR,Indian National Congress
54,26,Lormi,TOKHAN SAHU,Bharatiya Janata Party,25553,6241,TOKHAN  SAHU,Bharatiya Janata Party,Chattisgarh,DHARMJEET SINGH,Janta Congress Chhattisgarh (J)
55,9,Lundra,VIJAYNATH SINGH,Bharatiya Janata Party,22179,9946,CHINTAMANI MAHARAJ,Indian National Congress,Chattisgarh,DR. PRITAM RAM,Indian National Congress
56,42,Mahasamund,POONAM CHANDRAKAR,Bharatiya Janata Party,23066,4722,DR. VIMAL CHOPRA,Independent,Chattisgarh,VINOD SEVAN LAL CHANDRAKAR,Indian National Congress
57,2,Manendragarh,SHYAM BIHARI JAISWAL,Bharatiya Janata Party,4074,4178,SHYAM BIHARI JAISWAL,Bharatiya Janata Party,Chattisgarh,DR. VINAY JAISWAL,Indian National Congress
58,24,Marwahi,ARCHANA PORTE,Bharatiya Janata Party,46462,46250,AMIT AJIT JOGI,Indian National Congress,Chattisgarh,AJIT JOGI,Janta Congress Chhattisgarh (J)
59,32,Masturi,JAYENDRA SINGH PATLE,Bahujan Samaj Party,14107,24146,DILIP LAHARIYA,Indian National Congress,Chattisgarh,DR. KRISHNA MURTI BANDHI,Bharatiya Janata Party
60,78,Mohala-manpur,KANCHAN MALA BHUARYA,Bharatiya Janata Party,21048,956,TEJ KUNWAR GOWARDHAN NETAM,Indian National Congress,Chattisgarh,INDRASHAH MANDAVI,Indian National Congress
61,27,Mungeli,RAKESH PATRE,Indian National Congress,8487,2745,PUNNULAL MOHLE,Bharatiya Janata Party,Chattisgarh,PUNNULAL MOHALE,Bharatiya Janata Party
62,84,Narayanpur,KEDAR KASHYAP,Bharatiya Janata Party,2647,12800,KEDAR  KASHYAP,Bharatiya Janata Party,Chattisgarh,CHANDAN KASHYAP,Indian National Congress
63,70,Navagarh,DAYALDAS BAGHEL,Bharatiya Janata Party,33200,27193,DAYALDAS BAGHEL,Bharatiya Janata Party,Chattisgarh,GURUDAYAL SINGH  BANJARE,Indian National Congress
64,23,Pali-tanakhar,HIRA SINGH MARKAM,Gondvana Gantantra Party,9656,28813,UIKE RAMDAYAL,Indian National Congress,Chattisgarh,MOHIT RAM,Indian National Congress
65,38,Pamgarh,GORELAL BARMAN,Indian National Congress,3061,8125,AMBESH JANGRE,Bharatiya Janata Party,Chattisgarh,INDU BANJARE,Bahujan Samaj Party
66,71,Pandariya,MOTIRAM CHANDRAVANSHI,Bharatiya Janata Party,36487,7273,MOTI RAM CHANDRAVANSHI,Bharatiya Janata Party,Chattisgarh,MAMTA CHANDRAKAR,Indian National Congress
67,62,Patan,MOTILAL SAHU,Bharatiya Janata Party,27477,9343,BHUPESH BAGHEL,Indian National Congress,Chattisgarh,BHUPESH BAGHEL,Indian National Congress
68,14,Pathalgaon,SHIVSHANKAR PAINKARA,Bharatiya Janata Party,36686,3909,SHIVSHANKAR PAINKRA,Bharatiya Janata Party,Chattisgarh,RAMPUKAR SINGH THAKUR,Indian National Congress
69,6,Pratappur,RAMSEWAK PAIKRA,Bharatiya Janata Party,44105,8143,RAMSEVAK PAIKRA,Bharatiya Janata Party,Chattisgarh,DR. PREMSAI SINGH TEKAM,Indian National Congress
70,4,Premnagar,VIJAY PRATAP SINGH,Bharatiya Janata Party,15340,18327,KHELSAI SINGH,Indian National Congress,Chattisgarh,KHEL SAI SINGH,Indian National Congress
71,16,Raigarh,ROSHANLAL,Bharatiya Janata Party,14580,20592,ROSHAN LAL,Bharatiya Janata Party,Chattisgarh,PRAKASH SHAKRAJEET NAIK,Indian National Congress
72,48,Raipur City Gramin,NAND KUMAR SAHU (NANDE BHAIYA),Bharatiya Janata Party,10453,1861,SATYANARAYAN SHARMA,Indian National Congress,Chattisgarh,SATYANARAYAN SHARMA,Indian National Congress
73,50,Raipur City North,SHRI CHAND SUNDRANI,Bharatiya Janata Party,16341,3476,SHRICHAND SUNDRANI,Bharatiya Janata Party,Chattisgarh,KULDEEP JUNEJA,Indian National Congress
74,51,Raipur City South,KANHAIYA AGRAWAL,Indian National Congress,17496,34799,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,Chattisgarh,BRIJMOHAN AGRAWAL,Bharatiya Janata Party
75,49,Raipur City West,RAJESH MUNAT,Bharatiya Janata Party,12212,6160,RAJESH MUNAT,Bharatiya Janata Party,Chattisgarh,VIKAS UPADHYAY,Indian National Congress
76,54,Rajim,SANTOSH UPADHYAY,Bharatiya Janata Party,58132,2441,SANTOSH UPADHYAY,Bharatiya Janata Party,Chattisgarh,AMITESH SHUKLA,Indian National Congress
77,75,Rajnandgaon,KARUNA SHUKLA,Indian National Congress,16933,35866,DR. RAMAN,Bharatiya Janata Party,Chattisgarh,DR. RAMAN SINGH,Bharatiya Janata Party
78,7,Ramanujganj,RAMKISHUN SINGH,Bharatiya Janata Party,32916,11592,BRIHASPAT SINGH,Indian National Congress,Chattisgarh,BRIHASPAT SINGH,Indian National Congress
79,20,Rampur,PHOOL SINGH RATHIYA,Janta Congress Chhattisgarh (J),18175,9915,SHYAM LAL KANWAR,Indian National Congress,Chattisgarh,NANKI RAM KANWAR,Bharatiya Janata Party
80,68,Saja,LABHCHAND BAFNA,Bharatiya Janata Party,31535,9620,LABH CHAND BAFNA,Bharatiya Janata Party,Chattisgarh,RAVINDRA CHAUBE,Indian National Congress
81,35,Sakti,MEDHA RAM SAHU,Bharatiya Janata Party,30046,9033,DOCTOR KHILAWAN SAHU,Bharatiya Janata Party,Chattisgarh,CHARAN DAS MAHANT,Indian National Congress
82,8,Samri,SIDHNATH PAIKRA,Bharatiya Janata Party,21923,31823,DR. PREETAM RAM,Indian National Congress,Chattisgarh,CHINTAMANI MAHRAJ,Indian National Congress
83,59,Sanjari balod,PAWAN SAHU,Bharatiya Janata Party,27488,30433,BHAIYA RAM SINHA,Indian National Congress,Chattisgarh,SANGEETA SINHA,Indian National Congress
84,39,Saraipali,SHYAM TANDI,Bharatiya Janata Party,52288,28832,RAMLAL CHOUHAN,Bharatiya Janata Party,Chattisgarh,KISMAT LAL NAND,Indian National Congress
85,17,Sarangarh,KERA BAI  MANAHAR,Bharatiya Janata Party,52389,15844,KERABAI MANHAR,Bharatiya Janata Party,Chattisgarh,UTTARI GANPAT JANGDE,Indian National Congress
86,56,Sihawa,PINKY SHIVRAJ SHAH,Bharatiya Janata Party,45436,7487,SHRAVAN MARKAM,Bharatiya Janata Party,Chattisgarh,DR. LAKSHMI DHRUW,Indian National Congress
87,11,Sitapur,PROFESSOR GOPAL RAM,Bharatiya Janata Party,36137,17855,AMARJEET BHAGAT,Indian National Congress,Chattisgarh,AMARJEET BHAGAT,Indian National Congress
88,28,Takhatpur,SANTOSH KAUSHIK (GURUJI),Janta Congress Chhattisgarh (J),2991,608,RAJU SINGH KSHATRI,Bharatiya Janata Party,Chattisgarh,RASHMI ASHISH SINGH,Indian National Congress
89,66,Vaishali Nagar,BADRUDDIN QURESHI,Indian National Congress,18080,24448,VIDYARATAN BHASIN,Bharatiya Janata Party,Chattisgarh,VIDYA RATAN BHASIN,Bharatiya Janata Party
90,166,AGAR ,VIPIN WANKHEDE,Indian National Congress,2490,28859,MANOHAR OONTWAL,Bharatiya Janata Party,Madhya Pradesh,MANOHAR UNTWAL,Bharatiya Janata Party
91,191,ALIRAJPUR,CHOUHAN NAGAR SINGH,Bharatiya Janata Party,21962,17369,CHOUHAN NAGARSINGH,Bharatiya Janata Party,Madhya Pradesh,MUKESH RAWAT (PATEL),Indian National Congress
92,223,ALOTE,JITENDRA THAWARCHAND GEHLOT,Bharatiya Janata Party,5448,7973,JITENDRA THAVARCHAND GEHLOT,Bharatiya Janata Party,Madhya Pradesh,MANOJ CHAWLA,Indian National Congress
93,66,AMARPATAN,"DR. RAJENDRA KUMAR SINGH ""DADA BHAI""",Indian National Congress,3747,11739,RAJENDRA KUMAR SINGH DADABHAI,Indian National Congress,Madhya Pradesh,RAMKHELAWAN PATEL,Bharatiya Janata Party
94,123,AMARWARA,MANMOHAN SHAH BATTI,Gondvana Gantantra Party,10393,4063,KAMLESH   SHAH,Indian National Congress,Madhya Pradesh,KAMLESH PRATAP SHAH,Indian National Congress
95,8,AMBAH ,NEHA KINNAR,Independent,7547,11288,SATYAPRAKASH,Bahujan Samaj Party,Madhya Pradesh,KAMLESH JATAV,Indian National Congress
96,130,AMLA,MANOJ MALVE,Indian National Congress,19197,39602,CHAITRAM MANEKAR,Bharatiya Janata Party,Madhya Pradesh,DR. YOGESH PANDAGRE,Bharatiya Janata Party
97,87,ANUPPUR,RAMLAL RAUTEL,Bharatiya Janata Party,11561,11745,RAMLAL RAUTEL,Bharatiya Janata Party,Madhya Pradesh,BISAHULAL SINGH,Indian National Congress
98,32,ASHOK NAGAR ,ER. LADDURAM KORI,Bharatiya Janata Party,9730,3348,GOPILAL JATAV,Bharatiya Janata Party,Madhya Pradesh,"JAJPAL SINGH ""JAJJI""",Indian National Congress
99,157,ASHTA ,GOPAL SINGH ENGINEER,Indian National Congress,6044,5504,RANJEET SINGH GUNWAN,Bharatiya Janata Party,Madhya Pradesh,RAGHUNATH SINGH MALVIYA,Bharatiya Janata Party
100,9,ATER ,HEMANT SATYADEV KATARE,Indian National Congress,4978,11426,SATYADEV KATARE,Indian National Congress,Madhya Pradesh,ARVIND SINGH BHADORIA,Bharatiya Janata Party
101,218,BADNAGAR,SANJAY SHARMA,Bharatiya Janata Party,5381,13135,MUKESH PANDYA,Bharatiya Janata Party,Madhya Pradesh,MURLI MORWAL,Indian National Congress
102,202,BADNAWAR,BHANWARSINGH SHEKHAWAT,Bharatiya Janata Party,41506,9812,BHANVARSINGH SHEKHAWAT,Bharatiya Janata Party,Madhya Pradesh,RAJVARDHAN SINGH - PREMSINGH DATTIGAW,Indian National Congress
103,182,BADWAHA,HITENDRASINGH SOLANKI,Bharatiya Janata Party,30508,5630,HITENDRA SINH DHYAN SINH SOLANKI,Bharatiya Janata Party,Madhya Pradesh,SACHIN BIRLA,Indian National Congress
104,91,BADWARA,MOTI KASHYAP,Bharatiya Janata Party,21360,3287,MOTI KASHYAP,Bharatiya Janata Party,Madhya Pradesh,VIJAYRAGHVENDRA SINGH (BASANT SINGH),Indian National Congress
105,174,BAGLI,KAMAL WASKALE,Indian National Congress,11843,25332,CHAMPALAL DEVDA,Bharatiya Janata Party,Madhya Pradesh,KANNOJE PAHADSINGH,Bharatiya Janata Party
106,94,BAHORIBAND,KUNWAR SAURABH SINGH,Indian National Congress,16435,20918,PRABHAT PANDEY (BADE BABBU),Bharatiya Janata Party,Madhya Pradesh,PRANAY PRABHAT PANDEY (GUDDU BHAIYA),Bharatiya Janata Party
107,108,BAIHAR ,ANUPAMA NETAM,Bharatiya Janata Party,16480,32352,SANJAY UIEKE,Indian National Congress,Madhya Pradesh,SANJAY UIKEY,Indian National Congress
108,111,BALAGHAT ,ANUBHA MUNJARE,Samajwadi Party,27654,2500,GOURISHANKAR CHATURBHUJ BISEN,Bharatiya Janata Party,Madhya Pradesh,GAURISHANKER CHATURBHUJ BISEN,Bharatiya Janata Party
109,28,BAMORI ,"BRIJMOHAN SINGH ""AZAD""",Bharatiya Janata Party,27920,18561,MAHENDRA SINGH SISODIA (SANJU BHAIYA),Indian National Congress,Madhya Pradesh,MAHENDRA SINGH SISODIYA (SANJU BHAIYA),Indian National Congress
110,42,BANDA ,HARVANSH SINGH RATHORE (SUKKU BHAIYA),Bharatiya Janata Party,24164,17880,HARVANSH (SUKKU BHAIYA),Bharatiya Janata Party,Madhya Pradesh,TARBAR SINGH (BANTU BHAIYA),Indian National Congress
111,89,BANDHAVGARH,DHYAN SINGH,Indian National Congress,3903,18645,GYAN SINGH,Bharatiya Janata Party,Madhya Pradesh,SHIVNARAYAN SINGH (LALLU BHAIYA),Bharatiya Janata Party
112,114,BARGHAT,NARESH WARKADE,Bharatiya Janata Party,7527,269,KAMAL MARSKOLE,Bharatiya Janata Party,Madhya Pradesh,"""ARJUN SINGH""",Indian National Congress
113,96,BARGI,PRATIBHA SINGH,Bharatiya Janata Party,17563,7399,PRATIBHA SINGH,Bharatiya Janata Party,Madhya Pradesh,"SANJAY YADAV ""SEONI TOLA""",Indian National Congress
114,190,BARWANI (S.T.),RAJAN MANDLOI,Independent,38787,10527,RAMESH PATEL,Indian National Congress,Madhya Pradesh,PREMSINGH PATEL,Bharatiya Janata Party
115,145,BASODA,NISHANK KUMAR JAIN,Indian National Congress,10226,16159,NISHANK,Indian National Congress,Madhya Pradesh,"LEENA SANJAY JAIN ""TAPPU""",Bharatiya Janata Party
116,83,BEOHARI,TEJ PRATAP SINGH UIKEY,Gondvana Gantantra Party,32450,17342,RAM PAL SINGH,Indian National Congress,Madhya Pradesh,KOL SARAD JUGLAL,Bharatiya Janata Party
117,149,BERASIA,JAYSHREE HARIKARAN,Indian National Congress,13779,29304,VISHNU KHATRI,Bharatiya Janata Party,Madhya Pradesh,VISHNU KHATRI,Bharatiya Janata Party
118,131,BETUL,HEMANT VIJAY KHANDELWAL,Bharatiya Janata Party,21645,24347,HEMANT VIJAY KHANDELWAL,Bharatiya Janata Party,Madhya Pradesh,NILAY VINOD DAGA,Indian National Congress
119,186,BHAGWANPURA,JAMNASINGH SOLANKI,Bharatiya Janata Party,9716,1820,VIJAY SINGH,Indian National Congress,Madhya Pradesh,KEDAR CHIDABHAI DAWAR,Independent
120,133,BHAINSDEHI,MAHENDRA SINGH CHOUHAN,Bharatiya Janata Party,30880,13276,MAHENDRA  KESHARSINGH CHOUHAN,Bharatiya Janata Party,Madhya Pradesh,DHARMU SINGH SIRSAM,Indian National Congress
121,21,BHANDER ,RAJNI PRAJAPATI,Bharatiya Janata Party,39896,7651,GHANSHYAM PIRONIYA,Bharatiya Janata Party,Madhya Pradesh,RAKSHA SANTRAM SARONIYA,Indian National Congress
122,181,BHIKANGAON,DHOOL SINGH DAWAR,Bharatiya Janata Party,27257,2399,JHUMA SOLANKI,Indian National Congress,Madhya Pradesh,JHUMA DR. DHYANSINGH SOLANKI,Indian National Congress
123,10,BHIND ,CHAUDHARY RAKESH SINGH CHATURVEDI,Bharatiya Janata Party,35896,5993,NARENDRA SINGH KUSHWAH,Bharatiya Janata Party,Madhya Pradesh,SANJEEV SINGH (SANJU),Bahujan Samaj Party
124,18,BHITARWAR,ANOOP MISHRA,Bharatiya Janata Party,12130,6548,LAKHAN SINGH YADAV,Indian National Congress,Madhya Pradesh,LAKHAN SINGH YADAV,Indian National Congress
125,141,BHOJPUR,SURESH PACHOURI,Indian National Congress,29486,20149,SURENDRA PATWA,Bharatiya Janata Party,Madhya Pradesh,SURENDRA PATWA,Bharatiya Janata Party
126,152,BHOPAL DAKSHINA-PASHCHIM ,UMASHANKAR GUPTA,Bharatiya Janata Party,6587,18198,UMASHANKAR GUPTA,Bharatiya Janata Party,Madhya Pradesh,P.C.SHARMA,Indian National Congress
127,153,BHOPAL MADHYA,SURENDRA NATH SINGH (MAMMA),Bharatiya Janata Party,14757,6981,SURENDRA NATH SINGH,Bharatiya Janata Party,Madhya Pradesh,ARIF MASOOD,Indian National Congress
128,150,BHOPAL UTTAR ,FATIMA RASOOL SIDDIQUI (GUDIYA),Bharatiya Janata Party,34857,6664,ARIF  AQUEEL,Indian National Congress,Madhya Pradesh,ARIF AQUEEL,Indian National Congress
129,161,BIAORA,NARAYAN SINGH PANWAR,Bharatiya Janata Party,826,3088,NARAYAN SINGH PANWAR,Bharatiya Janata Party,Madhya Pradesh,GOVARDHAN DANGI,Indian National Congress
130,105,BICHHIYA ,"DR. SHIVRAJ SHAH ""SHIVA BHAIYA""",Bharatiya Janata Party,21388,18316,PANDIT SINGH DHURWEY,Bharatiya Janata Party,Madhya Pradesh,NARAYAN SINGH PATTA,Indian National Congress
131,52,BIJAWAR,GUDDAN BHAIYA PUSHPENDRA NATH PATHAK,Bharatiya Janata Party,36714,10379,GUDDAN PATHAK (PUSHPENDRA  NATH),Bharatiya Janata Party,Madhya Pradesh,RAJESH KUMAR (BABLU BHAIYA),Samajwadi Party
132,35,BINA,SHASHI KATHORIA,Indian National Congress,632,18769,MAHESH RAI,Bharatiya Janata Party,Madhya Pradesh,MAHESH RAI,Bharatiya Janata Party
133,156,BUDHNI,ARUN SUBHASHCHANDRA,Indian National Congress,58999,84805,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party
134,180,BURHANPUR,ARCHANA DIDI,Bharatiya Janata Party,5120,22827,ARCHNA CHITNIS DIDI,Bharatiya Janata Party,Madhya Pradesh,"THAKUR SURENDRA SINGH NAVAL SINGH ""SHERA BHAIYA""",Independent
135,30,CHACHODA,MAMTA  MEENA,Bharatiya Janata Party,9797,34901,MAMTA  MEENA,Bharatiya Janata Party,Madhya Pradesh,LAKSHMAN SINGH,Indian National Congress
136,33,CHANDERI,BHUPENDRA DWIVEDI,Bharatiya Janata Party,4175,30318,GOPAL SINGH CHAUHAN DAGGI RAJA,Indian National Congress,Madhya Pradesh,GOPAL SINGH CHAUHAN (DAGGI RAJA),Indian National Congress
